Skill,Skill Cluster,Category,Type
.NET,Web Technologies,generic,Framework
3D Reconstruction,Visual Image Recognition,generic,Concept
3D Rendering,3D Modeling,generic,Concept
3ds Max,3D Modeling,generic,Software
Activity Recognition,Visual Image Recognition,generic,Concept
AdaBoost,Machine Learning,generic,Algorithm
Advanced Driver Assistance Systems,Autonomous Driving,generic,Concept
Advanced Robotics,Robotics,specific,Concept
Agile,Software Development,generic,Methodology
AI Ethics,AI Ethics,specific,Concept
AIF360,AI Ethics,specific,Framework
AIOps,Artificial Intelligence,specific,Concept
Airbyte,Data Engineering,specific,Tool
Albumentations,Computer Vision,specific,Library
AllenNLP,Natural Language Processing,specific,Framework
Altair,Visualization,specific,Library
Amazon QuickSight,Business Intelligence,specific,Tool
Amazon Textract,Natural Language Processing,specific,Framework
Angular,Web Technologies,generic,Framework
Angular,Web Technologies,generic,Framework
Ansible,DevOps,generic,Configuration Management
ANTLR,Natural Language Processing,generic,Library
Airflow,Data Engineering,specific,Framework
Beam,Data Engineering,specific,Framework
Kafka,Data Engineering,specific,Framework
MADlib,Machine Learning,specific,Library
Mahout,Machine Learning,specific,Framework
MXNet,Neural Networks,specific,Framework
SINGA,Machine Learning,generic,Framework
Apache Spark,Machine Learning,generic,Framework
APIs,Web Technologies,generic,Concept
Applications Of Artificial Intelligence,Artificial Intelligence,generic,Concept
Artificial General Intelligence,Artificial Intelligence,generic,Concept
Artificial Intelligence Development,Artificial Intelligence,generic,Concept
AIML,Artificial Intelligence,specific,Language
Artificial Intelligence Systems,Artificial Intelligence,generic,Concept
Artificial Intelligence,Artificial Intelligence,generic,Concept
Artificial Neural Networks,Neural Networks,specific,Concept
ASP.NET,Web Technologies,generic,Framework
Assembly,Programming Languages,generic,Low-level Language
Association Rule Learning,Machine Learning,specific,Concept
Auto-GPT,Generative AI,specific,Tool
Auto-sklearn,AutoML,specific,Framework
AutoCAD,3D Modeling,generic,Software
Autoencoders,Neural Networks,specific,Model
AutoGluon,AutoML,specific,Framework
Automated Machine Learning,Machine Learning,specific,Concept
Autonomic Computing,Machine Learning,generic,Concept
Autonomous Cruise Control Systems,Autonomous Driving,specific,Concept
Autonomous System,Autonomous Driving,specific,Concept
Autonomous Vehicles,Autonomous Driving,specific,Concept
AWS SageMaker,Machine Learning,specific,Framework
AWS Services,Cloud Computing,specific,Toolchain
AWS,Cloud Computing,generic,Platform
Azure Cognitive Services,Artificial Intelligence,specific,Framework
Azure Machine Learning,Machine Learning,specific,Framework
Azure Synapse,Cloud Computing,specific,Platform
Azure,Cloud Computing,generic,Platform
BabyAGI,Generative AI,specific,Tool
Baidu,Artificial Intelligence,generic,Platform
Bash,Programming Languages,generic,Shell Scripting
BentoML,Model Deployment,specific,Framework
BERT,Natural Language Processing,specific,Model
Blender,3D Modeling,generic,Software
Boosting,Machine Learning,generic,Concept
Bottle,Web Technologies,specific,Framework
C,Programming Languages,generic,Language
C#,Programming Languages,generic,Language
C++,Programming Languages,generic,Language
Caffe,Neural Networks,specific,Framework
Caffe2,Neural Networks,specific,Framework
Caret,Machine Learning,specific,Library
Chainer (Deep Learning Framework),Neural Networks,specific,Framework
Chatbot,Natural Language Processing,generic,Concept
Chef,DevOps,generic,Configuration Management
CHi-Squared Automatic Interaction Detection (CHAID),Machine Learning,specific,Algorithm
CI/CD,DevOps,generic,Practice
CircleCI,DevOps,generic,CI/CD
CART,Machine Learning,specific,Algorithm
Claude,Generative AI,specific,Model
Clojure,Programming Languages,generic,Language
Cloud Services,Cloud Computing,generic,Concept
Cluster Analysis,Machine Learning,specific,Concept
COBOL,Programming Languages,generic,Language
Cognitive Automation,Artificial Intelligence,specific,Concept
Cognitive Computing,Artificial Intelligence,specific,Concept
Cognitive Robotics,Robotics,specific,Concept
Colab Notebook,Software Development,generic,Tool
Collaborative Filtering,Machine Learning,specific,Concept
Comet.ml,ML Experiment Tracking,specific,Tool
Computational Intelligence,Artificial Intelligence,specific,Concept
Computational Linguistics,Natural Language Processing,generic,Concept
Computer Vision,Visual Image Recognition,generic,Concept
Confluence,Project Management,specific,Tool
Confusion Matrix,Machine Learning,generic,Concept
Contextual Image Classification,Visual Image Recognition,generic,Concept
CNN,Neural Networks,specific,Concept
Convolutional Neural Networks,Neural Networks,specific,Concept
Cordova,Mobile Development,generic,Framework
CoreNLP,Natural Language Processing,specific,Framework
Cortana,Artificial Intelligence,generic,Framework
CrewAI,Generative AI,specific,Framework
